"temp","humid","wind","rain","pm_grade","season","press"
1.5,35.4,2,0,"Moderate",1,1010.4
-4.7,48.6,2,0,"Moderate",1,1020.6
-2.6,44.8,1.9,0,"Moderate",1,1017.7
1.5,52.8,2.9,1,"Good",1,1013.8
-7.4,25.9,3.4,0,"Good",1,1014.6
2.7,54.6,2.7,0,"Moderate",1,1016.5
4.1,58,2.3,0,"Very_bad",1,1018.8
1.4,56.4,3.6,1,"Moderate",1,1010.4
11.3,68.3,2.3,0,"Bad",1,1010
9.6,63.6,3,0,"Bad",1,1016.9
15.5,30,2.7,0,"Moderate",1,1006.4
17.2,54.9,2.2,0,"Bad",1,1006.5
19,32.5,2.2,0,"Bad",1,1012.7
13.1,45.9,3.4,0,"Moderate",1,1007.5
20,55.1,2.3,0,"Moderate",1,1002.4
22.8,49.5,4.2,0,"Bad",1,989.9
18.7,95.3,3.5,1,"Good",0,996.2
20.5,87.1,1.9,1,"Good",0,996.4
23.7,74.4,1.8,1,"Good",0,997
24.1,70.3,2.1,0,"Moderate",0,995.1
25.7,65.8,2.1,0,"Moderate",0,996.5
26.8,69.4,2.4,0,"Bad",0,999.9
22.6,86.1,6.4,1,"Moderate",0,996.9
26.6,87.5,3.2,0,"Moderate",0,994.2
26.1,73.9,1.8,0,"Moderate",0,1000.1
25.9,71.8,3,0,"Moderate",0,997.4
25.2,66.9,1.8,0,"Moderate",0,1002.1
23.1,60.9,2.3,0,"Good",0,1004.9
20.2,61.6,1.4,0,"Moderate",0,1007.1
16.1,74.3,2.9,0,"Good",0,1002.3
17.4,51.9,4.7,0,"Good",0,1003.1
14.4,97.8,2.6,1,"Moderate",0,1006.6
10.7,35.3,3,0,"Good",0,1013.2
9.3,40.9,3.1,0,"Good",0,1008.6
9.4,49.9,1.7,0,"Moderate",0,1012.2
5,53.4,2.2,0,"Moderate",0,1017.6
10.2,56,4.2,0,"Moderate",0,1007.5
-5.4,42.3,4.6,0,"Good",1,1011.5
1.6,58.8,1.9,1,"Moderate",1,1014.2
-1.7,66,3.8,1,"Moderate",1,1010.8
-6,45.9,3.2,0,"Good",1,1014.6
-2.1,58.3,2,0,"Moderate",1,1014.4
-4.1,46,3.8,0,"Moderate",1,1017.8
3.7,62.9,1.8,0,"Moderate",1,1015.2
0.6,54.5,2.1,0,"Moderate",1,1018
-1.6,46.4,3.1,0,"Moderate",1,1009.2
5.2,55.3,2,0,"Moderate",1,1015.4
-2.1,43.4,5.3,0,"Moderate",1,1010.9
5.5,42,2.2,0,"Moderate",1,1012
4.6,24.3,4.2,0,"Good",1,1015.1
13.2,57.4,2.6,0,"Bad",1,1007.9
9.6,43,2.3,0,"Moderate",1,1014.2
14.5,74.8,3.7,1,"Good",1,997
17.3,37.6,3.3,0,"Moderate",1,1008.2
18.3,90.4,2.1,1,"Moderate",1,997.2
19.1,39.6,2.3,0,"Moderate",1,1006.7
18.6,40.4,2.2,0,"Moderate",1,1000.5
19.8,71,2.9,1,"Moderate",1,995.3
24.6,59.6,2.8,1,"Moderate",0,991.9
24.8,59.4,2.7,1,"Moderate",0,995.9
24.4,70,1.7,1,"Moderate",0,988.7
23.4,69.8,4,1,"Good",0,1001.6
24.7,51.3,5,0,"Good",0,997.4
26.2,86,2.3,1,"Moderate",0,998.2
27.9,71.5,3.8,0,"Moderate",0,998.6
26.9,66.4,2.4,0,"Moderate",0,995.8
25.2,78.3,2,1,"Moderate",0,994.7
24.4,65.8,1.7,0,"Moderate",0,999
22.4,42.9,2.9,0,"Good",0,1006.5
23.9,48.4,1.8,0,"Moderate",0,1005.3
16.3,77.5,3.6,1,"Good",0,993
12.8,70.9,2.2,1,"Good",0,999.7
18.8,69.5,1.6,0,"Bad",0,1007
10.8,60.5,1.6,0,"Moderate",0,1012.6
14.5,63.5,2.8,0,"Good",0,1019.1
8.5,80.9,3.3,1,"Good",0,1014.9
4.1,69.1,2,0,"Moderate",0,1013.7
5,57.4,2.3,0,"Bad",1,1019.1
3.1,67.9,2.4,0,"Bad",1,1017.7
-3.2,47.6,1.4,0,"Moderate",1,1022.4
-3.3,49.8,2,0,"Moderate",1,1012.6
1.7,64,2.4,0,"Bad",1,1006.4
1.9,43.6,2.3,0,"Moderate",1,1014.6
8.1,29.3,3.5,1,"Moderate",1,1013.7
1.3,37.1,2.9,0,"Moderate",1,1013.2
13.2,55.3,2.7,1,"Bad",1,1013.4
9.3,40.9,1.4,0,"Bad",1,1009.7
