wine_type,row_index,quality,y_order,repeat_id,fold_id,split
white,0,6,4,1,1,inner_fit
white,1,6,4,1,1,inner_fit
white,2,6,4,1,1,validation
white,3,6,4,1,1,inner_fit
white,4,6,4,1,1,inner_fit
white,5,6,4,1,1,inner_fit
white,6,6,4,1,1,inner_fit
white,7,6,4,1,1,inner_fit
white,8,6,4,1,1,validation
white,9,6,4,1,1,validation
white,10,5,3,1,1,inner_fit
white,11,5,3,1,1,validation
white,12,5,3,1,1,test
white,13,7,5,1,1,test
white,14,5,3,1,1,inner_fit
white,15,7,5,1,1,validation
white,16,6,4,1,1,inner_fit
white,17,8,6,1,1,validation
white,18,6,4,1,1,inner_fit
white,19,5,3,1,1,inner_fit
white,20,8,6,1,1,inner_fit
white,21,7,5,1,1,test
white,22,8,6,1,1,test
white,23,5,3,1,1,validation
white,24,6,4,1,1,validation
white,25,6,4,1,1,inner_fit
white,26,6,4,1,1,inner_fit
white,27,6,4,1,1,inner_fit
white,28,6,4,1,1,validation
white,29,7,5,1,1,test
white,30,6,4,1,1,inner_fit
white,31,6,4,1,1,inner_fit
white,32,6,4,1,1,test
white,33,6,4,1,1,inner_fit
white,34,5,3,1,1,inner_fit
white,35,5,3,1,1,test
white,36,5,3,1,1,inner_fit
white,37,6,4,1,1,inner_fit
white,38,5,3,1,1,test
white,39,5,3,1,1,inner_fit
white,40,6,4,1,1,inner_fit
white,41,6,4,1,1,inner_fit
white,42,6,4,1,1,inner_fit
white,43,6,4,1,1,inner_fit
white,44,6,4,1,1,inner_fit
white,45,7,5,1,1,inner_fit
white,46,4,2,1,1,inner_fit
white,47,5,3,1,1,test
white,48,6,4,1,1,inner_fit
white,49,5,3,1,1,inner_fit
white,50,6,4,1,1,inner_fit
white,51,7,5,1,1,inner_fit
white,52,7,5,1,1,inner_fit
white,53,6,4,1,1,test
white,54,6,4,1,1,test
white,55,6,4,1,1,inner_fit
white,56,6,4,1,1,test
white,57,6,4,1,1,inner_fit
white,58,6,4,1,1,test
white,59,6,4,1,1,inner_fit
white,60,6,4,1,1,inner_fit
white,61,6,4,1,1,validation
white,62,5,3,1,1,inner_fit
white,63,6,4,1,1,inner_fit
white,64,6,4,1,1,inner_fit
white,65,5,3,1,1,inner_fit
white,66,7,5,1,1,inner_fit
white,67,5,3,1,1,inner_fit
white,68,8,6,1,1,inner_fit
white,69,5,3,1,1,test
white,70,6,4,1,1,test
white,71,5,3,1,1,inner_fit
white,72,5,3,1,1,inner_fit
white,73,6,4,1,1,inner_fit
white,74,8,6,1,1,test
white,75,5,3,1,1,inner_fit
white,76,7,5,1,1,validation
white,77,7,5,1,1,validation
white,78,5,3,1,1,inner_fit
white,79,5,3,1,1,inner_fit
white,80,6,4,1,1,inner_fit
white,81,6,4,1,1,inner_fit
white,82,5,3,1,1,test
white,83,6,4,1,1,inner_fit
white,84,5,3,1,1,test
